Hotel Name,Address,City ,Rating,Amenities,Reviews,Reviews,Room Type,Accomodates,Price per Night
The Lalit New Delhi,"Barakhamba Avenue | Connaught Place, New Delhi 110001, India",Delhi,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool",We stayed here twice (3 nights in total) during our golden triangle tour and were very impressed with the hotel. Reception staff were welcoming and friendly and the foyer area very impressive. ,"I recently stayed at the Lalit New Delhi for business, and booked an executive room with access to the lounge. As I was travelling alone, it was really nice to have a place to work in the evenings, with great food, drinks and service. I'd particularly like to mention Dharam who was one of the main staff members at the lounge, who welcomed me every evening, remembered what I was drinking and was so kind to me during my trip. I would definitely return and use the executive lounge again.",Gold,3,"10,600"
The Lalit New Delhi,"Barakhamba Avenue | Connaught Place, New Delhi 110001, India",Delhi,4.5,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool",We stayed here twice (3 nights in total) during our golden triangle tour and were very impressed with the hotel. Reception staff were welcoming and friendly and the foyer area very impressive. ,"I recently stayed at the Lalit New Delhi for business, and booked an executive room with access to the lounge. As I was travelling alone, it was really nice to have a place to work in the evenings, with great food, drinks and service. I'd particularly like to mention Dharam who was one of the main staff members at the lounge, who welcomed me every evening, remembered what I was drinking and was so kind to me during my trip. I would definitely return and use the executive lounge again.",Presidential Suite,2,"15,000"
"Lemon Tree Premier, Delhi Airport"," Asset No. 6, Aerocity Hospitality District, Indira Gandhi International Airport, New Delhi 110002, India",Delhi,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","It's was a couple of days stay at the lemon tree ,near to the airport,comfortable stay with good food choice and thank you Tenzing for the interaction, juices were fresh and nice hospitality was great , convenient hotel,",I stayed here for 2 days and found best hotel and its hospitality in the city. Room and services is best in class. Specially want to mention Amit Fordell and Prince Gupta are the best in providing hospitality. Restaurant is good and best varieties of food displayed. Excellent hotel and will always stay here.,Deluxe,3,"2,000"
"Lemon Tree Premier, Delhi Airport"," Asset No. 6, Aerocity Hospitality District, Indira Gandhi International Airport, New Delhi 110002, India",Delhi,4.2,"Free Wifi Free Parking
Breakfast Buffet
Air Conditioning
Pool","It's was a couple of days stay at the lemon tree ,near to the airport,comfortable stay with good food choice and thank you Tenzing for the interaction, juices were fresh and nice hospitality was great , convenient hotel,",I stayed here for 2 days and found best hotel and its hospitality in the city. Room and services is best in class. Specially want to mention Amit Fordell and Prince Gupta are the best in providing hospitality. Restaurant is good and best varieties of food displayed. Excellent hotel and will always stay here.,Super Deluxe,3,"4,000"
OYO Rooms," Plot No. J-15, Vikaspuri, Delhi, 110018",Delhi,3.7,"Free Wifi Free Parking
Air Conditioning",It was great pleasure to stay with oyo premium rooms . Ambience and other facilities was good but the room was not according as shown in oyo site.Other than that everything was perfect and meet our expectation.,It was an amazing stay and I'll highly recommend it,Premium,2,"1,500"
OYO Rooms," Plot No. J-15, Vikaspuri, Delhi, 110019",Delhi,3.7,"Free Wifi Free Parking
Air Conditioning",It was great pleasure to stay with oyo premium rooms . Ambience and other facilities was good but the room was not according as shown in oyo site.Other than that everything was perfect and meet our expectation.,It was an amazing stay and I'll highly recommend it,Family,4,"5,000"
Hyatt Centric MG Road Bangalore,"1/1 Swami Vivekananda Road | Next to MG Road, Ulsoor, Bengaluru 560008, India",Bengaluru,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool","This was my first visit to Bangalore and the hotel is ideally located in the centre near the major banks, shopping and excellent restaurants.The City has a great buzz with which the hotel is in synch.","Good place to stay, the hotel is aptly located. The reception area is small and looks congested, probably they can improve on that. Also, there is no option to park your own car and get to the rooms. Overall, if you get a good deal on the rooms then it is an nice option to stay.",Executive,2,"12,000"
Hyatt Centric MG Road Bangalore,"1/1 Swami Vivekananda Road | Next to MG Road, Ulsoor, Bengaluru 560008, India",Bengaluru,4.5,"Free Wifi Free Parking
Breakfast 
Air Conditioning
Pool","This was my first visit to Bangalore and the hotel is ideally located in the centre near the major banks, shopping and excellent restaurants.The City has a great buzz with which the hotel is in synch.","Good place to stay, the hotel is aptly located. The reception area is small and looks congested, probably they can improve on that. Also, there is no option to park your own car and get to the rooms. Overall, if you get a good deal on the rooms then it is an nice option to stay.",Suite,3,"18,000"
The Old Oak,"Sheshadri Road, Gandhinagar | Ward NO. 94, Bengaluru",Bengaluru,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning",Running a hospitality industry with such employees really cast a spell of magic among the guests. Really appreciate the kind of hardwork they put in just to put a glimpse of smile on our face. Thanks to Mr. Lokesh followed by the staff for going beyond and providing service at it’s best.,"Good place . Neat .it is a very express style for working executives . Although limited food but good . The only thing is at times the people here behave very cut to cut . So u need to keep us cool. The front desk manger Mr nail is very co operative .
",Deluxe,3,"4,500"
The Old Oak,"Sheshadri Road, Gandhinagar | Ward NO. 94, Bengaluru",Bengaluru,4.1,"Free Wifi Free Parking
Breakfast 
Air Conditioning",Running a hospitality industry with such employees really cast a spell of magic among the guests. Really appreciate the kind of hardwork they put in just to put a glimpse of smile on our face. Thanks to Mr. Lokesh followed by the staff for going beyond and providing service at it’s best.,"Good place . Neat .it is a very express style for working executives . Although limited food but good . The only thing is at times the people here behave very cut to cut . So u need to keep us cool. The front desk manger Mr nail is very co operative .
",Super Deluxe,2,"3,300"
